Element,Atomic Number,Atomic Weight,K Edge,L1 Edge,L2 Edge,L3 Edge,M1 Edge,M5 Edge
H,1,1.008,13.6,0.0,0.0,0.0,0.0,0.0
He,2,4.003,24.6,0.0,0.0,0.0,0.0,0.0
Li,3,6.941,54.8,0.0,0.0,0.0,0.0,0.0
Be,4,9.012,111.0,0.0,0.0,0.0,0.0,0.0
B,5,10.811,188.0,0.0,4.7,4.7,0.0,0.0
C,6,12.011,283.8,0.0,6.4,6.4,0.0,0.0
N,7,14.007,401.6,0.0,9.2,9.2,0.0,0.0
O,8,15.999,532.0,23.7,7.1,7.1,0.0,0.0
F,9,18.998,685.4,31.0,8.6,8.6,0.0,0.0
Ne,10,20.18,866.9,45.0,18.3,18.3,0.0,0.0
Na,11,22.99,1072.1,63.3,31.1,31.1,0.0,0.0
Mg,12,24.305,1305.0,89.4,51.4,51.4,0.0,0.0
Al,13,26.982,1559.6,117.7,73.1,73.1,0.0,0.0
Si,14,28.086,1838.9,148.7,99.2,99.2,0.0,0.0
P,15,30.974,2145.5,189.3,132.2,132.2,0.0,0.0
S,16,32.066,2472.0,229.2,164.8,164.8,0.0,0.0
Cl,17,35.453,2822.4,270.2,201.6,200.0,0.0,0.0
Ar,18,39.948,3202.9,320.0,247.3,245.2,29.3,0.0
K,19,39.098,3607.4,377.1,296.3,293.6,34.8,0.0
Ca,20,40.078,4038.1,437.8,350.0,346.4,44.3,0.0
Sc,21,44.956,4492.8,500.4,406.7,402.2,51.1,0.0
Ti,22,47.88,4966.4,563.7,461.5,455.5,58.7,0.0
V,23,50.942,5465.1,628.2,520.5,512.9,66.3,0.0
Cr,24,51.996,5989.2,694.6,583.7,574.5,74.1,0.0
Mn,25,54.938,6539.0,769.0,651.4,640.3,82.3,0.0
Fe,26,55.847,7112.0,846.1,721.1,708.1,91.3,0.0
Co,27,58.933,7708.9,925.6,793.8,778.6,101.0,0.0
Ni,28,58.69,8332.8,1008.1,871.9,854.7,110.8,0.0
Cu,29,63.54600000000001,8978.9,1096.1,951.0,931.1,122.5,0.0
Zn,30,65.39,9658.6,1193.6,1042.8,1019.7,139.8,10.1
Ga,31,69.723,10367.1,1297.7,1142.3,1115.4,159.5,18.7
Ge,32,72.61,11103.1,1414.3,1247.8,1216.7,180.1,29.2
As,33,74.922,11866.7,1526.5,1358.6,1323.1,204.7,41.7
Se,34,78.96,12657.8,1653.9,1476.2,1435.8,229.6,54.6
Br,35,79.904,13473.7,1782.0,1596.0,1549.9,257.0,69.0
Kr,36,83.8,14325.6,1921.0,1727.2,1674.9,292.8,93.8
Rb,37,85.46799999999998,15199.7,2065.1,1863.9,1804.4,326.7,112.0
Sr,38,87.62,16104.6,2216.3,2006.8,1939.6,358.7,134.2
Y,39,88.906,17038.4,2372.5,2155.5,2080.0,392.0,155.8
Zr,40,91.224,17997.6,2531.6,2306.7,2222.3,430.3,178.8
Nb,41,92.906,18985.6,2697.7,2464.7,2370.5,466.6,202.3
Mo,42,95.94,19999.5,2865.6,2625.1,2520.2,506.3,227.9
Tc,43,98.906,21044.0,3042.5,2793.2,2676.9,544.0,253.9
Ru,44,101.07,22117.2,3224.0,2966.9,2837.9,586.1,280.0
RH,45,102.906,23219.9,3411.9,3146.1,3003.8,628.1,307.2
Pd,46,106.42,24350.3,3604.3,3330.3,3173.3,671.6,335.2
Ag,47,107.868,25514.0,3805.8,3523.7,3351.1,719.0,368.0
Cd,48,112.411,26711.2,4018.0,3727.0,3537.5,772.0,405.2
In,49,114.82,27939.9,4237.5,3938.0,3730.1,972.2,443.9
Sn,50,118.71,29200.1,4464.7,4156.1,3928.8,884.7,484.9
Sb,51,121.75,30491.2,4698.3,4380.4,4132.2,946.0,528.2
Te,52,127.6,31813.8,4939.2,4612.0,4341.4,1006.0,573.0
I,53,126.904,33169.4,5188.1,4852.1,4557.1,1072.0,620.0
Xe,54,131.29,34561.4,5452.8,5103.7,4782.2,1148.7,676.4
Cs,55,132.905,35984.6,5714.3,5359.4,5011.9,1211.0,726.6
Ba,56,137.327,37440.6,5988.8,5623.6,5247.0,1293.0,780.5
La,57,138.906,38924.6,6266.3,5890.6,5482.7,1362.0,836.0
Ce,58,140.115,40443.0,6548.8,6164.2,5723.4,1436.0,883.8
Pr,59,140.908,41990.6,6834.8,6440.4,5964.3,1511.0,928.8
Nd,60,144.24,43568.9,7126.0,6721.5,6207.9,1575.0,980.4
Pm,61,146.915,45184.0,7427.9,7012.8,6459.3,,1027.0
Sm,62,150.36,46834.2,7736.8,7311.8,6716.2,1723.0,1083.4
Eu,63,151.965,48519.0,8052.0,7617.1,6976.9,1800.0,1127.5
Gd,64,157.25,50239.1,8375.6,7930.3,7242.8,1881.0,1189.6
Tb,65,158.925,51995.7,8708.0,8251.6,7514.0,1968.0,1251.1
Dy,66,162.5,53788.5,9045.8,8580.6,7790.1,2047.0,1292.0
Ho,67,164.93,55617.7,9394.2,8917.8,8071.1,2128.0,1351.0
Er,68,167.26,57485.5,9751.3,9264.3,8357.9,2206.0,1409.0
Tm,69,168.93400000000003,59389.6,10115.7,9616.9,8648.0,2307.0,1468.0
Yb,70,173.04,61332.3,10486.4,9978.2,8943.6,2398.0,1528.0
Lu,71,174.967,63313.8,10870.4,10348.6,9244.1,2491.0,1589.0
Hf,72,178.49,65350.8,11270.7,10739.4,9560.7,2601.0,1662.0
Ta,73,180.948,67416.4,11681.5,11136.1,9881.1,2708.0,1735.0
W,74,183.85,69525.0,12099.8,11544.0,10206.8,2820.0,1809.0
Re,75,186.207,71676.4,12526.7,11958.7,10535.3,2932.0,1883.0
Os,76,190.2,73870.8,12968.0,12385.0,10870.9,3049.0,1960.0
Ir,77,192.22,76111.0,13418.5,12824.1,11215.2,3174.0,2040.0
Pt,78,195.08,78394.8,13879.9,13272.6,11563.7,3296.0,2122.0
Au,79,196.967,80724.9,14352.8,13733.6,11918.7,3425.0,2206.0
Hg,80,200.59,83102.3,14839.3,14208.7,12283.9,3562.0,2295.0
Tl,81,204.383,85530.4,15346.7,14697.9,12657.5,3704.0,2369.0
Pb,82,207.2,88004.5,15860.8,15200.0,13035.2,3851.0,2484.0
Bi,83,208.98,90525.9,16387.6,15711.1,13418.6,3999.0,2580.0
Po,84,208.982,93105.0,16939.3,16244.3,13813.8,4149.0,2683.0
At,85,209.987,95729.9,17493.0,16784.7,14213.5,4317.0,2787.0
Rn,86,222.018,98404.0,18049.0,17337.1,14619.4,4482.0,2892.0
Fr,87,223.02,101137.0,18639.0,17906.5,15031.2,4652.0,3000.0
Ra,88,226.025,103921.9,19236.7,18484.3,15444.4,4822.0,3105.0
Ac,89,227.028,106755.3,19840.0,19083.2,15871.0,5002.0,3219.0
TH,90,232.038,109650.9,20472.1,19693.2,16300.3,5182.0,3332.0
Pa,91,231.036,112601.4,21104.6,20313.7,16733.1,5367.0,3442.0
U,92,238.029,115606.1,21757.4,20947.6,17166.3,5548.0,3552.0
NP,93,237.048,118678.0,22426.8,21600.5,17610.0,,
Pu,94,244.064,121818.0,23097.2,22266.2,18056.8,,
Am,95,243.061,125027.0,23772.9,22944.0,18504.1,,
Cm,96,247.07,128200.0,24460.0,23779.0,18930.0,,
Bk,97,247.07,131590.0,25275.0,24385.0,19452.0,,
Cf,98,251.08,135960.0,26110.0,25250.0,19930.0,,
Es,99,252.083,139490.0,26900.0,26020.0,20410.0,,
Fm,100,257.095,143090.0,27700.0,26810.0,20900.0,,
Md,101,258.099,146780.0,28530.0,27610.0,21390.0,,
No,102,259.101,150540.0,29380.0,28440.0,21880.0,,
Lr,103,260.105,154380.0,30240.0,29280.0,22360.0,,
